Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
0,0,2019-20,SHB 1065,1065,,,,,2019-03-04,0,0,SHB 1065,2nd substitute bill substituted.,0,H subst for,0,0,2019-02-01,AN ACT Relating to protecting consumers from charges for out-of-network health care services;,0,Protecting consumers from charges for out-of-network health care services.,House,1543,H-1275.2,0,0,0,1,Out-of-network health care,Bill,B,(Cody),0,1
1,0,2019-20,2SHB 1065,1065,,,,,2019-05-21,1,1,2SHB 1065,Effective date 7/28/2019*.,0,C 427 L 19,0,0,2019-02-25,AN ACT Relating to protecting consumers from charges for out-of-network health care services;,0,Protecting consumers from charges for out-of-network health care services.,House,1543,H-2091.1,0,0,0,1,Out-of-network health care,Bill,B,(Cody),1,2
1,0,2019-20,HB 1066,1066,,2019-20,SB 5034,SRules X,2019-04-30,0,0,HB 1066,Effective date 7/28/2019.,0,C 201 L 19,0,0,2019-01-14,AN ACT Relating to the service of legal actions to collect a debt by a collection agency;,0,Requiring debt collection complaints to be filed prior to service of summons and complaint.,House,20753,Z-0207.1,0,1,0,0,Debt collection complaints,Bill,B,(Kilduff),1,0
1,0,2019-20,HB 1067,1067,,2019-20,SB 5033,SRules X,2020-01-23,0,0,HB 1067,Referred to Rules 2 Review.,0,H Rules R,0,0,2019-01-14,AN ACT Relating to employment after public service in state government;,0,Concerning employment after public service in state government.,House,26177,Z-0229.1,0,1,0,0,Employment after public serv,Bill,B,(Pellicciotti),1,0
1,0,2019-20,SHB 1067,1067,,,,,2020-01-23,0,1,SHB 1067,Referred to Rules 2 Review.,0,H Rules R,0,0,2019-01-23,AN ACT Relating to employment after public service in state government;,0,Concerning employment after public service in state government.,House,26177,H-1044.1,0,1,0,0,Employment after public serv,Bill,B,(Pellicciotti),1,1
1,0,2019-20,2SHB 1067,1067,,,,,2020-01-23,0,0,2SHB 1067,Referred to Rules 2 Review.,0,H Rules R,0,0,2020-01-21,AN ACT Relating to employment after public service in state government;,0,Concerning employment after public service in state government.,House,26177,H-4010.1,0,1,0,0,Employment after public serv,Bill,B,(Pellicciotti),0,2
1,0,2019-20,HB 1068,1068,,2019-20,SB 5062,SRules X,2020-01-13,0,0,HB 1068,Referred to Civil Rights & Judiciary.,0,H Civil R & Judi,0,0,2019-01-14,AN ACT Relating to high capacity magazines;,1,Concerning high capacity magazines.,House,27975,Z-0140.2,0,1,0,0,High capacity magazines,Bill,B,(Valdez),1,0
1,0,2019-20,SHB 1068,1068,,,,,2020-01-13,0,0,SHB 1068,Referred to Civil Rights & Judiciary.,0,H Civil R & Judi,0,0,2019-02-01,AN ACT Relating to high capacity magazines;,0,Concerning high capacity magazines.,House,27975,H-0957.2,0,1,0,0,High capacity magazines,Bill,B,(Valdez),0,1
1,0,2019-20,HB 1069,1069,,,,,2020-01-13,0,0,HB 1069,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2019-01-14,AN ACT Relating to the creation of the insurance fraud surcharge account;,0,Concerning the creation of the insurance fraud surcharge account.,House,15809,Z-0198.2,0,0,0,1,Insurance fraud surcharge,Bill,B,(Stanford),1,0
1,0,2019-20,HB 1070,1070,,2019-20,SB 5108,"SEnvironment, E",2019-04-30,0,0,HB 1070,Effective date 7/28/2019.,0,C 202 L 19,0,0,2019-01-14,AN ACT Relating to the tax treatment of renewable natural gas;,0,Concerning the tax treatment of renewable natural gas.,House,20759,H-0530.1,0,0,0,0,Natural gas tax treatment,Bill,B,(Mosbrucker),1,0
