Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,1,2009-10,ESSB 6444,6444,,,,,2010-05-04,1,1,ESSB 6444,Effective date 5/4/2010.,1,C 37 L 10 E1,0,1,2010-02-27,AN ACT Relating to fiscal matters;,0,Making 2010 supplemental operating appropriations.,Senate,337,S-4999.3,0,0,1,0,Operating supp budget 2010,Bill,B,WM(Prentice),0,1
1,0,2009-10,SB 6445,6445,,,,,2010-03-15,0,0,SB 6445,"By resolution, reintroduced and retained in present status.",0,S GovtOp & Elect,0,0,2010-01-14,AN ACT Relating to allowing impact fees to be used for all fire protection facilities;,0,Allowing impact fees to be used for all fire protection facilities.,Senate,337,S-3591.1,0,0,0,0,Fire protection facilities,Bill,B,(Prentice),0,0
1,0,2009-10,SB 6446,6446,,,,,2010-03-15,0,0,SB 6446,"By resolution, reintroduced and retained in present status.",0,S HumServ/Corr,0,0,2010-01-14,"AN ACT Relating to the period of time during which a licensed overnight youth shelter, or an organization whose stated mission is to provide services to homeless or runaway youth and their families, must provide notification to parents of runaway youth;",0,"Addressing the period of time during which a licensed overnight youth shelter, or an organization whose stated mission is to provide services to homeless or runaway youth and their families, must provide notification to parents of runaway youth.",Senate,644,S-3577.1,0,0,0,0,Overnight youth shelters,Bill,B,(Kohl-Welles),0,0
1,0,2009-10,SB 6447,6447,,2009-10,HB 2639,HHC/Wellness,2010-03-15,0,0,SB 6447,"By resolution, reintroduced and retained in present status.",0,S Lab/Comm/CP,0,0,2010-01-14,AN ACT Relating to exempting pipe tobacco from restrictions on shipping tobacco to consumers in Washington;,0,Exempting pipe tobacco from restrictions on shipping tobacco to consumers in Washington.,Senate,644,S-3480.1,0,0,0,0,Pipe tobacco,Bill,B,(Kohl-Welles),0,0
1,0,2009-10,SB 6448,6448,,2009-10,HB 3037,HAg & Nat Res,2010-03-15,0,0,SB 6448,"By resolution, reintroduced and retained in present status.",0,S Rules 2,0,0,2010-01-14,AN ACT Relating to providing the department of fish and wildlife authority to improve permitting of hydraulic projects;,1,Concerning permitting of hydraulic projects.,Senate,207,S-3733.1,0,0,0,0,Hydraulic project permitting,Bill,B,(Jacobsen),1,0
1,0,2009-10,SSB 6448,6448,,,,,2010-03-15,0,1,SSB 6448,"By resolution, reintroduced and retained in present status.",0,S Rules 2,0,0,2010-02-04,AN ACT Relating to providing the department of fish and wildlife authority to improve permitting of hydraulic projects;,1,Concerning permitting of hydraulic projects.,Senate,207,S-4586.1,0,0,0,0,Hydraulic project permitting,Bill,B,(Jacobsen),1,1
0,0,2009-10,SB 6449,6449,,,,,2010-02-15,0,0,SB 6449,1st substitute bill substituted.,0,S subst for,0,0,2010-01-14,AN ACT Relating to signature gatherers;,0,Regarding signature gatherers for petitions.,Senate,5141,S-3638.1,0,0,0,0,Petition signature gatherers,Bill,B,(McDermott),1,0
1,0,2009-10,ESSB 6449,6449,,,,,2010-03-15,0,1,ESSB 6449,"By resolution, reintroduced and retained in present status.",0,S Rules 3,0,1,2010-02-04,AN ACT Relating to signature gatherers;,0,Regarding signature gatherers for petitions.,Senate,5141,S-4392.1,0,0,0,0,Petition signature gatherers,Bill,B,(McDermott),1,1
1,0,2009-10,SB 6450,6450,,,,,2010-03-12,0,0,SB 6450,Effective date 6/10/2010.,0,C 49 L 10,0,0,2010-01-14,AN ACT Relating to requiring the department of licensing to establish continuing education requirements for court reporters;,0,Requiring the department of licensing to establish continuing education requirements for court reporters.,Senate,633,S-3298.2,0,0,0,0,Court reporters,Bill,B,(Eide),1,0
1,0,2009-10,SB 6451,6451,,,,,2010-03-15,0,0,SB 6451,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to installation of residential fire sprinkler systems;,0,Concerning the installation of residential fire sprinkler systems.,Senate,12073,S-3527.1,0,0,0,0,Fire sprinkler systems,Bill,B,(Kauffman),1,0
1,0,2009-10,SSB 6451,6451,,,,,2010-03-15,0,0,SSB 6451,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-02-01,AN ACT Relating to installation of residential fire sprinkler systems;,0,Concerning the installation of residential fire sprinkler systems.,Senate,12073,S-4356.1,0,0,0,0,Fire sprinkler systems,Bill,B,(Kauffman),0,1
1,0,2009-10,SB 6452,6452,,2009-10,HB 2837,HHC/Wellness,2010-03-15,0,0,SB 6452,"By resolution, reintroduced and retained in present status.",0,S Hea/L-T Care,0,0,2010-01-14,AN ACT Relating to limited service pregnancy centers;,0,Concerning limited service pregnancy centers.,Senate,8214,S-3845.1,0,0,0,0,Ltd service pregnancy ctrs,Bill,B,(Tom),1,0
