group,groupDesc,longDesc,passedId,num,ver,status.cat,status.comm,status.first,status.chamber,actionLine,active,sponsor,intro,action,fn,req,approp,current,prefiled,rcws
"2046","Intangible assets tax","Creating fairness in Washington's tax by imposing a tax on select financial intangible assets.","","2046","HB 2046","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Berg","2025-03-24","2025-03-24","SFN","","0","0","0","43.135.034|82.32.160|82.32.655"
"2047","Employee ownership program","Eliminating the Washington employee ownership program.","SHB 2047","2047","HB 2047","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Richards","2025-03-24","2025-04-17","SFN","","0","0","0","43.330.590|43.330.592|43.330.595"
"2047","Employee ownership program","Eliminating the Washington employee ownership program.","SHB 2047","2047","SHB 2047","ENACTED","","","","Effective date 7/27/2025.","1","Richards","2025-04-05","2025-05-19","SFN","","0","0","0","43.330.590|43.330.592|43.330.595|82.04.4488"
"2048","Leadership board","Eliminating the Washington state leadership board.","","2048","HB 2048","RULES","","","H","Referred to Rules 2 Review.","1","Rule","2025-03-24","2025-04-08","SFN","","0","0","0","43.15.020|43.15.095|43.388.010|43.388.020|43.388.030|43.388.040|46.68.420"
"2048","Leadership board","Eliminating the Washington state leadership board.","","2048","SHB 2048","RULES","","","H","Referred to Rules 2 Review.","1","Rule","2025-04-05","2025-04-08","SFN","","0","0","0","43.15.020|43.15.095|43.388.010|43.388.020|43.388.030|43.388.040|46.68.420"
"2049 / 5812","K-12 education funding","Investing in the state's paramount duty to fund K-12 education and build strong and safe communities.","","2049","HB 2049","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Bergquist","2025-03-24","2025-04-21","SFN,Loc","","0","0","0","28a.150.390|28a.150.392|28a.150.560|28a.500.015|84.52.0531|84.55.005|84.55.0101|84.55.100"
"2049 / 5812","K-12 education funding","Investing in the state's paramount duty to fund K-12 education and build strong and safe communities.","","2049","SB 5812","COMMITTEE","WM","true","S","First reading, referred to Ways & Means.","1","Wellman","2025-04-16","2025-04-16","SFN,Loc","","0","0","0","28a.150.390|28a.150.392|28a.150.560|28a.500.015|84.52.0531|84.55.005|84.55.0101|84.55.100"
"2049","K-12 education funding","Investing in the state's paramount duty to fund K-12 education and build strong and safe communities.","ESHB 2049","2049","SHB 2049","OTHER","","","H","","0","Bergquist","2025-04-19","","SFN,Loc","","0","0","0","28a.500.015|84.52.0531"
"2049","K-12 education funding","Investing in the state's paramount duty to fund K-12 education and build strong and safe communities.","ESHB 2049","2049","ESHB 2049","ENACTED","","","","Effective date 7/27/2025.","1","Bergquist","2025-04-19","2025-05-20","SFN,Loc","","0","0","0","28a.500.015|84.52.0531"
"2050","K-12 savings & efficiencies","Implementing K-12 savings and efficiencies.","HB 2050","2050","HB 2050","ENACTED","","","","Effective date 1/1/2026.","1","Ormsby","2025-03-24","2025-05-20","SFN","","0","0","0",""
