Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
0,0,2009-10,SB 5225,5225,,,,,2009-03-05,0,0,SB 5225,1st substitute bill substituted.,0,S subst for,0,0,2009-01-16,AN ACT Relating to crimes against property;,1,Concerning crimes against property.,Senate,2304,S-0344.3,0,0,0,0,Crimes against property,Bill,B,(Kline),1,0
1,0,2009-10,ESSB 5225,5225,,,,,2010-03-15,0,1,ESSB 5225,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,1,2009-02-24,AN ACT Relating to crimes against property;,1,Concerning crimes against property.,Senate,2304,S-1778.4,0,0,0,0,Crimes against property,Bill,B,(Kline),1,1
1,0,2009-10,SB 5226,5226,,,,,2010-03-15,0,0,SB 5226,"By resolution, reintroduced and retained in present status.",0,S Hea/L-T Care,0,0,2009-01-16,AN ACT Relating to prohibiting requests for waivers of rights of residents of long-term care facilities;,0,Prohibiting requests for waivers of rights of residents of long-term care facilities.,Senate,2304,S-0502.1,0,0,0,0,Long-term care residents,Bill,B,(Kline),0,0
1,0,2009-10,SB 5227,5227,,,,,2010-03-15,0,0,SB 5227,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to materially false statements;,0,"Revising the definition of ""materially false statements.""",Senate,2304,S-0286.1,0,0,0,0,Materially false statements,Bill,B,(Kline),0,0
0,0,2009-10,SB 5228,5228,,,,,2009-03-06,0,0,SB 5228,1st substitute bill substituted.,0,S subst for,0,0,2009-01-16,AN ACT Relating to recalculating day labor construction projects and programs;,0,Regarding day labor construction projects and programs.,Senate,174,S-0710.2,0,0,0,0,Day labor construction,Bill,B,(Haugen),0,0
1,0,2009-10,ESSB 5228,5228,,,,,2009-04-08,0,1,ESSB 5228,Effective date 7/26/2009.,0,C 29 L 09,0,1,2009-02-19,AN ACT Relating to calculating construction projects by county forces;,0,Regarding construction projects by county forces.,Senate,174,S-1495.3,0,0,0,0,Construction/county forces,Bill,B,TRAN(Haugen),0,1
0,0,2009-10,SB 5229,5229,,2009-10,HB 1783,HSGTribalAff,2009-03-09,0,0,SB 5229,1st substitute bill substituted.,0,S subst for,0,0,2009-01-16,AN ACT Relating to the legislative youth advisory council;,0,Regarding the legislative youth advisory council.,Senate,564,S-0457.1,0,0,0,0,Legislative youth adv counc,Bill,B,(McAuliffe),1,0
1,0,2009-10,SSB 5229,5229,,,,,2009-05-07,1,1,SSB 5229,Effective date 5/7/2009.,0,C 410 L 09,0,0,2009-02-13,AN ACT Relating to the legislative youth advisory council;,0,Regarding the legislative youth advisory council.,Senate,564,S-1731.1,0,0,0,0,Legislative youth adv counc,Bill,B,EDU(McAuliffe),1,1
1,0,2009-10,SB 5230,5230,,2009-10,HB 1918,HHC/Wellness,2010-03-15,0,0,SB 5230,"By resolution, reintroduced and retained in present status.",0,S Hea/L-T Care,0,0,2009-01-16,AN ACT Relating to physical therapy;,0,Concerning physical therapists.,Senate,1603,S-0297.2,0,0,0,0,Physical therapy,Bill,B,(Fairley),0,0
1,0,2009-10,SB 5231,5231,,2009-10,HB 1239,Hsubst for,2010-03-15,0,0,SB 5231,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to parenting plans and residential schedules in dependency proceedings;,0,Addressing parenting plans and residential schedules in dependency proceedings.,Senate,1595,S-0561.2,0,0,0,0,Dependency proceedings,Bill,B,(Regala),1,0
1,0,2009-10,SSB 5231,5231,,,,,2010-03-15,0,0,SSB 5231,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-23,AN ACT Relating to parenting plans and residential schedules in dependency proceedings;,0,Addressing parenting plans and residential schedules in dependency proceedings.,Senate,1595,S-1968.1,0,0,0,0,Dependency proceedings,Bill,B,(Regala),0,1
0,0,2009-10,SB 5232,5232,,2009-10,HB 1013,HPub Safety,2009-03-03,0,0,SB 5232,1st substitute bill substituted.,0,S subst for,0,0,2009-01-16,AN ACT Relating to protecting registered school students from sexual misconduct by school employees;,1,Protecting registered school students from sexual misconduct by school employees.,Senate,1574,S-0322.1,0,0,0,0,Sexual misconduct/schools,Bill,B,(Delvin),1,0
1,0,2009-10,SSB 5232,5232,,,,,2010-03-15,0,0,SSB 5232,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-06,AN ACT Relating to protecting enrolled school students from sexual misconduct by school employees;,0,Protecting enrolled school students from sexual misconduct by school employees.,Senate,1574,S-1341.3,0,0,0,0,Sexual misconduct/schools,Bill,B,(Delvin),0,1
1,0,2009-10,SB 5233,5233,,,,,2009-04-16,0,0,SB 5233,Effective date 7/26/2009.,0,C 105 L 09,0,0,2009-01-16,AN ACT Relating to county elected officials keeping offices at the county seat;,0,Addressing county elected officials keeping offices at the county seat.,Senate,1574,S-0446.1,0,0,0,0,County elected officials,Bill,B,(Delvin),0,0
1,0,2009-10,SB 5234,5234,,2009-10,HB 1000,C 184 L 09,2010-03-15,0,0,SB 5234,"By resolution, reintroduced and retained in present status.",0,S Transportation,0,0,2009-01-16,AN ACT Relating to state route number 397;,0,Extending state route number 397 to Interstate 82.,Senate,1574,Z-0020.2,0,0,0,1,Extending state route 397,Bill,B,(Delvin),1,0
1,0,2009-10,SB 5235,5235,,2009-10,HB 1215,Hsubst for,2010-03-15,0,0,SB 5235,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to modifying motor vehicle warranty provisions;,0,Modifying motor vehicle warranty provisions.,Senate,644,Z-0166.3,0,1,0,0,Motor vehicle warranties,Bill,B,(Kohl-Welles),1,0
1,0,2009-10,SSB 5235,5235,,,,,2010-03-15,0,0,SSB 5235,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-10,AN ACT Relating to modifying motor vehicle warranty provisions;,0,Modifying motor vehicle warranty provisions.,Senate,644,S-1597.1,0,1,0,0,Motor vehicle warranties,Bill,B,(Kohl-Welles),0,1
1,0,2009-10,SB 5236,5236,,2009-10,HB 1308,Hsubst for,2010-03-15,0,0,SB 5236,"By resolution, reintroduced and retained in present status.",0,S Hea/L-T Care,0,0,2009-01-16,AN ACT Relating to reducing organ transplant benefit waiting periods based upon prior creditable coverage;,0,Reducing organ transplant benefit waiting periods based upon prior creditable coverage.,Senate,11968,Z-0256.2,0,0,0,1,Organ transplants,Bill,B,(Marr),1,0
0,0,2009-10,SB 5237,5237,,,,,2010-02-16,0,0,SB 5237,1st substitute bill substituted.,0,S subst for,0,0,2009-01-16,AN ACT Relating to an accelerated baccalaureate degree program;,0,Requiring the development of three-year baccalaureate programs.,Senate,655,S-0334.1,0,0,0,0,Three-year baccalaureate deg,Bill,B,(Shin),0,0
1,0,2009-10,SSB 5237,5237,,,,,2010-03-15,0,0,SSB 5237,"By resolution, reintroduced and retained in present status.",0,S Rules 3,0,0,2010-02-03,AN ACT Relating to an accelerated baccalaureate degree program;,0,Requiring the development of three-year baccalaureate programs.,Senate,655,S-4186.2,0,0,0,0,Three-year baccalaureate deg,Bill,B,(Shin),0,1
0,0,2009-10,SB 5238,5238,,2009-10,HB 1219,HSGTribalAff,2009-03-04,0,0,SB 5238,1st substitute bill substituted.,0,S subst for,0,0,2009-01-19,AN ACT Relating to mailing information to certain members of the state retirement systems;,0,Authorizing the department of retirement systems to assist with mailing information to certain members of the state retirement systems.,Senate,1950,S-0332.1,0,0,0,0,Retirement systems mailings,Bill,B,(Keiser),0,0
1,0,2009-10,ESSB 5238,5238,,,,,2009-04-08,0,1,ESSB 5238,Effective date 7/26/2009.,0,C 30 L 09,0,1,2009-02-23,AN ACT Relating to mailing information to certain members of the state retirement systems;,0,Authorizing the department of retirement systems to assist with mailing information to certain members of the state retirement systems.,Senate,1950,S-1912.1,0,0,0,0,Retirement systems mailings,Bill,B,(Keiser),1,1
1,0,2009-10,SB 5239,5239,,2009-10,HB 1450,Hsubst for,2010-03-15,0,0,SB 5239,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-19,"AN ACT Relating to modifying the definition of ""public facilities"";",0,"Modifying the definition of ""public facilities.""",Senate,173,S-0724.1,0,0,0,0,Public facilities definition,Bill,B,(Hatfield),0,0
