Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2005-06,SB 6772,6772,,2005-06,HB 3177,HCommerce/Lab,2006-01-23,0,0,SB 6772,"First reading, referred to Labor, Commerce, Research & Development.",0,S Lab/Comm/RD,0,0,2006-01-23,"AN ACT Relating to the regulation of heating, ventilating, air conditioning, and refrigeration contractors;",0,Integrating HVAC/R mechanics and contractors into the provisions governing plumbers.,Senate,347,S-3877.3,0,0,0,0,HVAC/R mechanics,Bill,B,(Rasmussen),0,0
1,0,2005-06,SB 6773,6773,,2005-06,HB 2868,HFinance,2006-01-23,0,0,SB 6773,"First reading, referred to Ways & Means.",0,S Ways & Means,0,0,2006-01-23,AN ACT Relating to extended warranties for tangible personal property exempt from sales and use taxation;,0,Exempting certain extended warranties from sales and use taxation.,Senate,1922,S-4267.1,0,0,0,0,Extended warranties,Bill,B,(Zarelli),1,0
1,0,2005-06,SB 6774,6774,,2005-06,HB 2869,HFinance,2006-01-23,0,0,SB 6774,"First reading, referred to Ways & Means.",0,S Ways & Means,0,0,2006-01-23,AN ACT Relating to the business and occupation tax credit for high technology research and development spending;,0,Restoring the business and occupation tax credit for high technology research and development spending.,Senate,3481,S-4266.1,0,0,0,0,High technology research,Bill,B,(Rockefeller),1,0
0,0,2005-06,SB 6775,6775,,,,,2006-02-09,0,0,SB 6775,1st substitute bill substituted.,0,S subst for,0,0,2006-01-23,AN ACT Relating to criminal trespass against children by sex offenders;,1,Creating the crime of criminal trespass against children.,Senate,171,Z-1168.1,0,1,0,0,Criminal trespass/children,Bill,B,(Hargrove),1,0
1,0,2005-06,SSB 6775,6775,,,,,2006-03-20,1,1,SSB 6775,Effective date 3/20/2006.,0,C 125 L 06,0,0,2006-02-03,AN ACT Relating to criminal trespass against children by sex offenders;,1,Creating the crime of criminal trespass against children.,Senate,171,S-4990.1,0,1,0,0,Criminal trespass/children,Bill,B,(Hargrove),1,1
0,0,2005-06,SB 6776,6776,,,,,2006-02-08,0,0,SB 6776,1st substitute bill substituted.,0,S subst for,0,0,2006-01-23,AN ACT Relating to prohibiting the unauthorized sale of cell phone numbers;,1,Prohibiting the unauthorized sale of cell phone numbers.,Senate,635,S-4487.1,0,0,0,0,Sale of cell phones,Bill,B,(Finkbeiner),1,0
1,0,2005-06,ESSB 6776,6776,,,,,2006-03-24,0,1,ESSB 6776,Effective date 6/7/2006.,0,C 193 L 06,0,1,2006-02-03,AN ACT Relating to prohibiting the unauthorized sale of telephone records;,1,Prohibiting the unauthorized sale of telephone records.,Senate,635,S-4932.1,0,0,0,0,Sale of telephone records,Bill,B,(Finkbeiner),1,1
1,0,2005-06,SB 6777,6777,,2005-06,HB 3041,C 97 L 06,2006-01-23,0,0,SB 6777,"First reading, referred to Government Operations & Elections.",0,S Govt Op & El,0,0,2006-01-23,AN ACT Relating to voter registration;,0,Modifying voter registration timelines.,Senate,1666,S-4503.1,0,0,0,0,Voter registration,Bill,B,(Swecker),0,0
1,0,2005-06,SB 6778,6778,,,,,2006-02-03,0,0,SB 6778,Referred to Ways & Means.,0,S Ways & Means,0,0,2006-01-23,AN ACT Relating to grey wolf management;,0,Requiring the department of fish and wildlife to draft a grey wolf management plan.,Senate,295,S-4481.1,0,0,0,0,Grey wolf management,Bill,B,(Morton),0,0
1,1,2005-06,SSB 6778,6778,,,,,2006-02-03,0,0,SSB 6778,Referred to Ways & Means.,0,S Ways & Means,0,0,2006-02-03,AN ACT Relating to grey wolf management;,0,Requiring the department of fish and wildlife to draft a grey wolf management plan.,Senate,295,S-4934.1,0,0,0,0,Grey wolf management,Bill,B,(Morton),0,1
