Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
0,0,2003-04,HB 1340,1340,,2003-04,SB 5452,Ssubst for,2003-02-12,0,0,HB 1340,1st substitute bill substituted.,0,H subst for,0,0,2003-01-22,AN ACT Relating to check cashers and sellers;,0,Regulating check cashers and sellers.,House,2150,Z-0201.3,0,0,1,0,Check cashers and sellers,Bill,B,(Cooper),1,0
1,0,2003-04,SHB 1340,1340,,,,,2004-01-14,0,0,SHB 1340,"House Rules ""X"" file.",0,H Rules X,0,0,2003-02-04,AN ACT Relating to check cashers and sellers;,0,Regulating check cashers and sellers.,House,2150,H-1200.1,0,0,1,0,Check cashers and sellers,Bill,B,(Cooper),1,1
1,0,2003-04,HB 1341,1341,,,,,2004-01-12,0,0,HB 1341,"By resolution, reintroduced and retained in present status.",0,H Cr Jus & Cor,0,0,2003-01-23,AN ACT Relating to offender work programs;,1,Restricting access to work programs for offenders who pose a threat to minors.,House,7635,H-0230.1,0,0,0,0,Offender work programs,Bill,B,(Orcutt),1,0
1,0,2003-04,HB 1342,1342,,,,,2004-01-14,0,0,HB 1342,"Referred to Fisheries, Ecology & Parks.",0,H Fish Eco & P,0,0,2003-01-23,AN ACT Relating to hunter education certificate requirements;,0,Exempting active military personnel and veterans from hunter education certificate requirements.,House,7635,H-0274.1,0,0,0,0,Hunter edu certification,Bill,B,(Orcutt),0,0
1,0,2003-04,SHB 1342,1342,,,,,2004-01-14,0,0,SHB 1342,"Referred to Fisheries, Ecology & Parks.",0,H Fish Eco & P,0,0,2003-02-27,AN ACT Relating to hunter education certificate requirements;,0,Exempting active military personnel and veterans from hunter education certificate requirements.,House,7635,H-2011.1,0,0,0,0,Hunter edu certification,Bill,B,(Orcutt),0,1
1,0,2003-04,HB 1343,1343,,,,,2004-01-12,0,0,HB 1343,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2003-01-23,AN ACT Relating to providing property tax relief for senior citizens or persons retired due to physical disability;,1,Providing property tax relief for senior citizens or persons retired due to physical disability.,House,7635,H-0136.2,0,0,0,0,Seniors/disabled prprty tax,Bill,B,(Orcutt),1,0
1,0,2003-04,HB 1344,1344,,,,,2004-01-12,0,0,HB 1344,"By resolution, reintroduced and retained in present status.",0,H Health Care,0,0,2003-01-23,AN ACT Relating to social security numbers on certificates of death;,0,Making social security numbers on death certificates confidential.,House,7635,H-0301.1,0,0,0,0,Death cert social sec number,Bill,B,(Orcutt),1,0
1,0,2003-04,HB 1345,1345,,2003-04,SB 5326,Ssubst for,2004-01-12,0,0,HB 1345,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,2003-01-23,AN ACT Relating to creating regional fire protection service authorities;,1,Creating regional fire protection service authorities.,House,2150,H-0545.1,0,0,0,0,Reg fire prtctn authorities,Bill,B,(Cooper),1,0
1,0,2003-04,SHB 1345,1345,,,,,2004-01-12,0,0,SHB 1345,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,2003-03-04,AN ACT Relating to creating regional fire protection service authorities;,1,Creating regional fire protection service authorities.,House,2150,H-1826.2,0,0,0,0,Reg fire prtctn authorities,Bill,B,(Cooper),1,1
1,0,2003-04,2SHB 1345,1345,,,,,2004-01-12,0,1,2SHB 1345,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,2003-03-10,AN ACT Relating to creating regional fire protection service authorities;,0,Creating regional fire protection service authorities.,House,2150,H-2404.1,0,0,0,0,Reg fire prtctn authorities,Bill,B,(Cooper),0,2
0,0,2003-04,HB 1346,1346,,,,,2003-03-13,0,0,HB 1346,1st substitute bill substituted.,0,H subst for,0,0,2003-01-23,AN ACT Relating to vacation of records of conviction for pre-sentencing reform act felony offenses;,1,Changing provisions relating to vacation of records of conviction for pre-sentencing reform act felony offenses.,House,3476,H-0804.1,0,0,0,0,Felony vacation of records,Bill,B,(Lovick),1,0
