Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2011-12,SB 6247,6247,,,,,2012-04-11,0,0,SB 6247,"By resolution, reintroduced and retained in present status.",0,S EL/K-12,0,0,2012-01-16,AN ACT Relating to the quality education council and the state board of education;,0,Changing the duties of the quality education council and the state board of education.,Senate,564,S-3276.3,0,0,0,0,Quality ed counc/board of ed,Bill,B,(McAuliffe),0,0
1,0,2011-12,SB 6248,6248,,,,,2012-04-11,0,0,SB 6248,"By resolution, reintroduced and retained in present status.",0,S Ways & Means,0,0,2012-01-16,AN ACT Relating to nonresident vessel permits and taxation;,0,Concerning nonresident vessel permits and taxation.,Senate,15778,S-3551.2,0,0,0,0,Nonresident vessels,Bill,B,(Harper),0,0
1,0,2011-12,SB 6249,6249,,2011-12,HB 2550,HHC/Wellness,2012-04-11,0,0,SB 6249,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-16,AN ACT Relating to tanning facilities;,0,Concerning tanning facilities.,Senate,644,S-3788.1,0,0,0,0,Tanning facilities,Bill,B,(Kohl-Welles),1,0
1,0,2011-12,SSB 6249,6249,,,,,2012-04-11,0,0,SSB 6249,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-31,AN ACT Relating to tanning facilities;,0,Concerning tanning facilities.,Senate,644,S-4197.1,0,0,0,0,Tanning facilities,Bill,B,(Kohl-Welles),0,1
1,0,2011-12,SB 6250,6250,,2011-12,HB 2667,HWays & Means,2012-04-11,0,0,SB 6250,"By resolution, reintroduced and retained in present status.",0,S Rules 3,0,0,2012-01-16,AN ACT Relating to clarifying the definition of leasehold interest;,1,Clarifying the definition of leasehold interest.,Senate,1595,S-3773.2,0,0,0,0,Leasehold interest,Bill,B,(Regala),1,0
0,0,2011-12,SB 6251,6251,,,,,2012-02-08,0,0,SB 6251,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to advertising commercial sexual abuse of a minor;,1,Regulating advertising of commercial sexual abuse of a minor.,Senate,644,S-3824.1,0,0,0,0,Commercial sex abuse/minor,Bill,B,(Kohl-Welles),1,0
1,0,2011-12,ESSB 6251,6251,,,,,2012-03-29,0,1,ESSB 6251,Effective date 6/7/2012.,0,C 138 L 12,0,1,2012-02-02,AN ACT Relating to advertising commercial sexual abuse of a minor;,1,Regulating advertising of commercial sexual abuse of a minor.,Senate,644,S-4103.5,0,0,0,0,Commercial sex abuse/minor,Bill,B,(Kohl-Welles),1,1
0,0,2011-12,SB 6252,6252,,,,,2012-02-08,0,0,SB 6252,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to commercial sexual abuse of a minor and promoting prostitution in the first degree;,1,Addressing commercial sexual abuse of a minor and promoting prostitution in the first degree.,Senate,2304,S-3614.1,0,0,0,0,Commercial sex abuse/minor,Bill,B,(Kline),1,0
1,0,2011-12,ESSB 6252,6252,,,,,2012-03-29,0,1,ESSB 6252,Effective date 6/7/2012.,0,C 139 L 12,0,1,2012-02-01,"AN ACT Relating to commercial sexual abuse of a minor, promoting commercial sexual abuse of a minor, and promoting prostitution in the first degree;",1,"Addressing commercial sexual abuse of a minor, promoting commercial sexual abuse of a minor, and promoting prostitution in the first degree.",Senate,2304,S-4324.1,0,0,0,0,Commercial sex abuse/minor,Bill,B,(Kline),1,1
0,0,2011-12,SB 6253,6253,,,,,2012-02-08,0,0,SB 6253,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to seizure and forfeiture;,1,Concerning seizure and forfeiture of property in commercial sexual abuse of a minor and promoting prostitution in the first degree crimes.,Senate,633,S-3618.2,0,0,0,0,Commercial sex abuse/minor,Bill,B,(Eide),1,0
1,0,2011-12,SSB 6253,6253,,,,,2012-03-29,0,0,SSB 6253,Effective date 6/7/2012.,0,C 140 L 12,0,0,2012-02-01,AN ACT Relating to seizure and forfeiture;,1,"Concerning seizure and forfeiture of property in commercial sexual abuse of a minor, promoting commercial sexual abuse of a minor, and promoting prostitution in the first degree crimes.",Senate,633,S-4325.1,0,0,0,0,Commercial sex abuse/minor,Bill,B,(Eide),1,1
1,0,2011-12,ESB 6254,6254,,,,,2012-03-29,1,1,ESB 6254,Effective date 6/7/2012.,0,C 141 L 12,0,1,2012-01-16,AN ACT Relating to promoting prostitution;,1,Changing promoting prostitution provisions.,Senate,1574,S-3602.1,0,0,0,0,Prostitution crimes,Bill,B,(Delvin),1,0
