Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,1993-94,SHB 2098,2098,,,,,1993-05-18,1,0,SHB 2098,"Chapter 508, 1993 Laws PV",1,C 508 L 93,0,0,1993-04-08,,0,Enhancing community options long-term care program.,House,442,,0,1,0,0,Long-term care options progr,Bill,B,(Valle),0,1
1,1,1993-94,HB 2099,2099,,1993-94,SB 5956,C 5 L 93,1994-03-11,0,0,HB 2099,"By resolution, reintroduced and retained in present status.",0,H State Govt,0,0,1993-03-05,,0,Establishing a commission on ethics in government and campaign practices.,House,328,,0,0,1,0,Ethics in government/campaig,Bill,B,(Peery),1,0
1,0,1993-94,HB 2100,2100,,,,,1994-03-11,0,0,HB 2100,"By resolution, reintroduced and retained in present status.",0,H Local Govt,0,0,1993-03-08,,0,Annexing unincorporated service areas into fire protection districts.,House,484,,0,0,0,0,Fire protection districts,Bill,B,(Zellinsky),0,0
1,0,1993-94,HB 2101,2101,,,,,1994-03-11,0,0,HB 2101,"By resolution, reintroduced and retained in present status.",0,H Commerce/Lab,0,0,1993-03-09,,0,Concerning correctional employees collective bargaining.,House,282,,0,0,0,0,Collctve bargain/corrections,Bill,B,"(Meyers, R.)",0,0
1,0,1993-94,HB 2102,2102,,,,,1994-03-11,0,0,HB 2102,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,1993-03-11,,0,Providing that money from the motorcycle safety education account be used only for the motorcycle operator training and education program.,House,621,,0,0,0,0,Motorcycle safety education,Bill,B,(Chappell),0,0
1,0,1993-94,HB 2103,2103,,,,,1994-03-11,0,0,HB 2103,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,1993-03-11,,0,Allowing arrests without warrant by enforcement officers of the liquor control board.,House,621,,0,0,0,0,Liquor control board enforcm,Bill,B,(Chappell),0,0
1,1,1993-94,HB 2104,2104,,,,,1994-03-11,0,0,HB 2104,"By resolution, reintroduced and retained in present status.",0,H Cap Budget,0,0,1993-03-11,,0,Appropriating funds for the Seattle Vocational Institute.,House,474,,0,0,0,0,Seattle Vocational Institute,Bill,B,(Wineberry),0,0
1,1,1993-94,HB 2105,2105,,,,,1994-03-11,0,0,HB 2105,"By resolution, reintroduced and retained in present status.",0,H Education,0,0,1993-03-11,,0,Creating the successful tutoring of at-risk students program.,House,474,,0,0,0,0,At-risk students tutoring,Bill,B,(Wineberry),0,0
1,1,1993-94,HB 2106,2106,,,,,1994-03-11,0,0,HB 2106,"By resolution, reintroduced and retained in present status.",0,H Health Care,0,0,1993-03-17,,0,Regulating medical waste.,House,282,,0,0,0,0,Medical waste,Bill,B,"(Meyers, R.)",0,0
1,0,1993-94,HB 2107,2107,,1993-94,SB 5962,STrans,1994-03-11,0,0,HB 2107,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,1993-03-22,,0,Implementing the transportation and economic development act of 1993.,House,136,,0,0,1,0,Transportation/econ developm,Bill,B,"(Fisher, R.)",0,0
1,0,1993-94,HB 2108,2108,,,,,1994-03-11,0,0,HB 2108,"By resolution, reintroduced and retained in present status.",0,H Commerce/Lab,0,0,1993-03-24,,0,Increasing penalties for unlicensed auto dealers.,House,655,,0,0,0,0,Unlicensed auto dealers,Bill,B,(Shin),1,0
1,0,1993-94,HB 2109,2109,,,,,1994-03-11,0,0,HB 2109,"By resolution, reintroduced and retained in present status.",0,H Revenue,0,0,1993-03-24,,0,"Adding nursing facilities licensed under chapter 18.51 RCW to the list of business activities whose services are included in the definition of ""sale at retail"" or ""retail sale.""",House,135,,0,0,0,0,Nursing facilities taxation,Bill,B,"(Fisher, G.)",0,0
1,0,1993-94,HB 2110,2110,,1993-94,SB 5963,Ssubst for,1994-03-11,0,0,HB 2110,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,1993-03-24,,0,Providing for priority programming of multimodal solutions to address state highway deficiencies.,House,136,,0,1,0,0,State highway deficiencies,Bill,B,"(Fisher, R.)",0,0
1,0,1993-94,EHB 2111,2111,,,,,1993-05-18,0,0,EHB 2111,Governor vetoed.,0,Gov vetoed,1,1,1993-03-24,,0,Adopting the supplemental transportation budget.,House,136,,0,1,0,0,Transportatn budget/suppleme,Bill,B,"(Fisher, R.)",0,0
1,0,1993-94,HB 2112,2112,,1993-94,SB 5967,Ssubst for,1994-03-11,0,0,HB 2112,"By resolution, reintroduced and retained in present status.",0,H Revenue,0,0,1993-03-26,,0,Implementing a comprehensive tax package.,House,135,,0,0,1,0,Taxation,Bill,B,"(Fisher, G.)",0,0
1,0,1993-94,HB 2113,2113,,,,,1994-03-11,0,0,HB 2113,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-04-01,,0,Extending retirement benefits for service in the Vietnam conflict to PERS II members.,House,219,,0,0,0,0,Military service credit,Bill,B,(Jones),0,0
1,0,1993-94,EHB 2114,2114,,,,,1993-05-28,1,0,EHB 2114,"Chapter 8, 1993 Laws 1st Special Session",0,C 8 L 93 E1,0,1,1993-04-02,,1,Crediting earnings on balances of certain treasury accounts.,House,135,,0,1,0,0,Treasury account earnings,Bill,B,"(Fisher, G.)",1,0
